Table A-23. States -- Violent Crimes and Crime Rates,,,,,
,,,,,
See notes,,,,,
,,,,,
,"Rate \3 (per 100,000)",,,,
,2008,,,,
,Total,Murder        \4,Rape,Robbery,Assault
     United States,454.5,5.4,29.3,145.3,274.6
Alabama,452.8,7.6,34.7,157.6,253.0
Alaska,651.9,4.1,64.3,94.0,489.6
Arizona,447.0,6.3,25.7,149.2,265.9
Arkansas,503.4,5.7,48.9,95.8,353.1
California,503.8,5.8,24.2,188.8,285.0
Colorado,343.1,3.2,42.5,68.1,229.3
Connecticut,297.8,3.5,19.3,111.6,163.5
Delaware \5,703.4,6.5,41.9,210.5,444.4
District of Columbia \6,"1,437.7",31.4,31.4,748.5,626.4
Florida,688.9,6.4,32.6,197.9,452.0
Georgia,478.9,6.6,22.7,179.2,270.5
Hawaii,272.6,1.9,28.3,84.3,158.1
Idaho,228.6,1.5,36.2,15.8,175.1
"Illinois \5, \7",525.4,6.1,31.9,186.4,300.9
Indiana,333.8,5.1,27.0,118.1,183.5
Iowa,283.8,2.5,29.6,41.6,210.1
Kansas \7,410.6,4.0,42.5,60.1,304.0
Kentucky \7,296.2,4.6,33.0,93.8,164.8
Louisiana,656.2,11.9,27.9,135.9,480.4
Maine,117.5,2.4,28.5,25.3,61.4
Maryland,628.2,8.8,20.0,234.4,365.1
Massachusetts,449.0,2.6,26.7,108.8,310.9
Michigan,501.5,5.4,45.0,129.6,321.5
Minnesota \5,262.8,2.1,34.6,80.0,146.1
Mississippi,284.9,8.1,30.3,102.6,143.9
Missouri,504.4,7.7,27.3,125.0,344.4
Montana \7,258.1,2.4,30.4,17.8,207.6
Nebraska,303.7,3.8,32.7,72.8,194.3
Nevada,724.5,6.3,42.4,248.9,426.9
New Hampshire,157.2,1.0,29.7,31.8,94.7
New Jersey,326.5,4.3,12.9,146.3,163.0
New Mexico,649.9,7.2,57.4,109.5,475.9
New York,398.1,4.3,14.4,163.0,216.4
North Carolina,467.3,6.5,24.8,155.4,280.6
North Dakota,166.5,0.5,36.2,11.2,118.6
Ohio,348.2,4.7,38.5,163.0,142.1
Oklahoma,526.7,5.8,40.2,101.1,379.5
Oregon,257.2,2.2,30.5,69.7,154.8
Pennsylvania,410.0,5.6,27.9,151.6,224.8
Rhode Island,249.4,2.8,26.4,83.7,136.7
South Carolina,729.7,6.8,36.6,147.3,539.1
South Dakota,201.4,3.2,53.7,14.9,129.6
Tennessee,722.4,6.6,33.2,173.8,508.9
Texas,507.9,5.6,32.9,155.2,314.1
Utah,221.8,1.4,32.6,51.9,135.8
Vermont,135.9,2.7,20.4,14.3,98.3
Virginia,255.9,4.7,22.6,95.7,132.8
Washington,331.2,2.9,40.1,96.9,191.2
West Virginia,273.8,3.3,20.0,49.0,201.5
Wisconsin,274.0,2.6,19.9,91.1,160.4
Wyoming,232.0,1.9,33.8,16.1,180.2
,,,,,
SOURCE,,,,,
"Source: U.S. Department of Justice, Federal Bureau of Investigation, Crime in the United States, annual;  ",,,,,
(related Internet site <http://www.fbi.gov/ucr/ucr.htm>).,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
