District ,Criminal cases w guilty verdict
AlabamaMiddle,80
AlabamaNorthern,344
AlabamaSouthern,152
Alaska,139
Arizona,3965
ArkansasEastern,415
ArkansasWestern,147
CaliforniaCentral,489
CaliforniaEastern,172
CaliforniaNorthern,207
CaliforniaSouthern,2770
Colorado,274
Connecticut,229
Delaware,44
DistrictofColumbia,148
FloridaMiddle,623
FloridaNorthern,164
FloridaSouthern,519
GeorgiaMiddle,179
GeorgiaNorthern,379
GeorgiaSouthern,239
Guam,21
Hawaii,48
Idaho,213
IllinoisCentral,201
IllinoisNorthern,226
IllinoisSouthern,176
IndianaNorthern,277
IndianaSouthern,337
IowaNorthern,281
IowaSouthern,383
Kansas,263
KentuckyEastern,285
KentuckyWestern,164
LouisianaEastern,96
LouisianaMiddle,85
LouisianaWestern,183
Maine,131
Maryland,292
Massachusetts,248
MichiganEastern,335
MichiganWestern,234
Minnesota,202
MississippiNorthern,58
MississippiSouthern,239
MissouriEastern,887
MissouriWestern,455
Montana,292
Nebraska,336
Nevada,202
NewHampshire,137
NewJersey,451
NewMexico,1319
NewYorkEastern,116
NewYorkNorthern,197
NewYorkSouthern,251
NewYorkWestern,219
NorthCarolinaEastern,645
NorthCarolinaMiddle,332
NorthCarolinaWestern,370
NorthDakota,195
NorthernMarianaIslands,12
OhioNorthern,563
OhioSouthern,368
OklahomaEastern,64
OklahomaNorthern,227
OklahomaWestern,191
Oregon,310
PennsylvaniaEastern,268
PennsylvaniaMiddle,250
PennsylvaniaWestern,249
PuertoRico,495
RhodeIsland,55
SouthCarolina,256
SouthDakota,405
TennesseeEastern,290
TennesseeMiddle,180
TennesseeWestern,263
TexasEastern,437
TexasNorthern,1022
TexasSouthern,7118
TexasWestern,3787
Utah,545
Vermont,101
VirginIslands,37
VirginiaEastern,475
VirginiaWestern,180
WashingtonEastern,139
WashingtonWestern,168
WestVirginiaNorthern,159
WestVirginiaSouthern,207
WisconsinEastern,147
WisconsinWestern,129
Wyoming,145
,
